From	To
AMOL2_MOUSE	Amotl2
AMOT_MOUSE	Amot
AMPB_MOUSE	Rnpep
AMPD1_MOUSE	Ampd1
AMPD2_MOUSE	Ampd2
AMPD3_MOUSE	Ampd3
AMPE_MOUSE	Enpep
AMPH_MOUSE	Amph
AMPL_MOUSE	Lap3
AMPN_MOUSE	Anpep
AMPO_MOUSE	Aopep
AMPQ_MOUSE	Lvrn
AMRA1_MOUSE	Ambra1
AMRP_MOUSE	Lrpap1
AMTN_MOUSE	Amtn
AMY1_MOUSE	Amy1
AMYP_MOUSE	Amy2
AMZ1_MOUSE	Amz1
AMZ2_MOUSE	Amz2
AN13A_MOUSE	Ankrd13a
AN13B_MOUSE	Ankrd13b
AN13C_MOUSE	Ankrd13c
AN13D_MOUSE	Ankrd13d
AN32A_MOUSE	Anp32a
AN32B_MOUSE	Anp32b
AN32C_MOUSE	Anp32c
AN32E_MOUSE	Anp32e
AN33B_MOUSE	Ankrd33b
AN34B_MOUSE	Ankrd34b
AN34C_MOUSE	Ankrd34c
ANC2_MOUSE	Anapc2
ANCHR_MOUSE	Zfyve19
ANDR_MOUSE	Ar
ANFB_MOUSE	Nppb
ANFC_MOUSE	Nppc
ANFY1_MOUSE	Ankfy1
ANF_MOUSE	Nppa
ANG2_MOUSE	Ang2
ANG3_MOUSE	Ang3
ANG4_MOUSE	Ang4
ANGE1_MOUSE	Angel1
ANGE2_MOUSE	Angel2
ANGI_MOUSE	Ang
ANGL1_MOUSE	Angptl1
ANGL2_MOUSE	Angptl2
ANGL3_MOUSE	Angptl3
ANGL4_MOUSE	Angptl4
ANGL6_MOUSE	Angptl6
ANGL7_MOUSE	Angptl7
ANGL8_MOUSE	Angptl8
ANGP1_MOUSE	Angpt1
ANGP2_MOUSE	Angpt2
ANGP4_MOUSE	Angpt4
ANGT_MOUSE	Agt
ANK1_MOUSE	Ank1
ANK2_MOUSE	Ank2
ANK3_MOUSE	Ank3
ANKAR_MOUSE	Ankar
ANKE1_MOUSE	Ankef1
ANKH_MOUSE	Ankh
ANKK1_MOUSE	Ankk1
ANKL2_MOUSE	Ankle2
ANKR1_MOUSE	Ankrd1
ANKR2_MOUSE	Ankrd2
ANKR6_MOUSE	Ankrd6
ANKR7_MOUSE	Ankrd7
ANKR9_MOUSE	Ankrd9
ANKS3_MOUSE	Anks3
ANKS6_MOUSE	Anks6
ANKUB_MOUSE	Ankub1
ANKY2_MOUSE	Ankmy2
ANKZ1_MOUSE	Ankzf1
ANLN_MOUSE	Anln
ANM1_MOUSE	Prmt1
ANM2_MOUSE	Prmt2
ANM3_MOUSE	Prmt3
ANM5_MOUSE	Prmt5
ANM6_MOUSE	Prmt6
ANM7_MOUSE	Prmt7
ANM8_MOUSE	Prmt8
ANM9_MOUSE	Prmt9
ANMY1_MOUSE	Ankmy1
ANO10_MOUSE	Ano10
ANO1_MOUSE	Ano1
ANO2_MOUSE	Ano2
ANO3_MOUSE	Ano3
ANO4_MOUSE	Ano4
ANO5_MOUSE	Ano5
ANO6_MOUSE	Ano6
ANO7_MOUSE	Ano7
ANO8_MOUSE	Ano8
ANO9_MOUSE	Ano9
ANPRA_MOUSE	Npr1
ANPRB_MOUSE	Npr2
ANPRC_MOUSE	Npr3
ANR10_MOUSE	Ankrd10
ANR16_MOUSE	Ankrd16
ANR17_MOUSE	Ankrd17
ANR22_MOUSE	Ankrd22
ANR23_MOUSE	Ankrd23
ANR24_MOUSE	Ankrd24
ANR26_MOUSE	Ankrd26
ANR27_MOUSE	Ankrd27
ANR28_MOUSE	Ankrd28
