From	To
ACSM4_HUMAN	ACSM4
ACSM5_HUMAN	ACSM5
ACSM6_HUMAN	ACSM6
ACSS3_HUMAN	ACSS3
ACTA_HUMAN	ACTA2
ACTBL_HUMAN	ACTBL2
ACTBM_HUMAN	POTEKP
ACTB_HUMAN	ACTB
ACTC_HUMAN	ACTC1
ACTG_HUMAN	ACTG1
ACTHR_HUMAN	MC2R
ACTH_HUMAN	ACTG2
ACTL8_HUMAN	ACTL8
ACTL9_HUMAN	ACTL9
ACTN1_HUMAN	ACTN1
ACTN2_HUMAN	ACTN2
ACTN3_HUMAN	ACTN3
ACTN4_HUMAN	ACTN4
ACTS_HUMAN	ACTA1
ACTT1_HUMAN	ACTRT1
ACTT2_HUMAN	ACTRT2
ACTT3_HUMAN	ACTRT3
ACTY_HUMAN	ACTR1B
ACTZ_HUMAN	ACTR1A
ACV1B_HUMAN	ACVR1B
ACV1C_HUMAN	ACVR1C
ACVL1_HUMAN	ACVRL1
ACVR1_HUMAN	ACVR1
ACY1_HUMAN	ACY1
ACY2_HUMAN	ASPA
ACY3_HUMAN	ACY3
ACYP1_HUMAN	ACYP1
ACYP2_HUMAN	ACYP2
ADA10_HUMAN	ADAM10
ADA11_HUMAN	ADAM11
ADA12_HUMAN	ADAM12
ADA15_HUMAN	ADAM15
ADA17_HUMAN	ADAM17
ADA18_HUMAN	ADAM18
ADA19_HUMAN	ADAM19
ADA1A_HUMAN	ADRA1A
ADA1B_HUMAN	ADRA1B
ADA1D_HUMAN	ADRA1D
ADA20_HUMAN	ADAM20
ADA21_HUMAN	ADAM21
ADA22_HUMAN	ADAM22
ADA23_HUMAN	ADAM23
ADA28_HUMAN	ADAM28
ADA29_HUMAN	ADAM29
ADA2A_HUMAN	ADRA2A
ADA2B_HUMAN	ADRA2B
ADA2C_HUMAN	ADRA2C
ADA30_HUMAN	ADAM30
ADA32_HUMAN	ADAM32
ADA33_HUMAN	ADAM33
ADAD1_HUMAN	ADAD1
ADAD2_HUMAN	ADAD2
ADAL_HUMAN	ADAL
ADAM2_HUMAN	ADAM2
ADAM5_HUMAN	ADAM5
ADAM7_HUMAN	ADAM7
ADAM8_HUMAN	ADAM8
ADAM9_HUMAN	ADAM9
ADAP1_HUMAN	ADAP1
ADAP2_HUMAN	ADAP2
ADAS1_HUMAN	ADARB2-AS1
ADAS_HUMAN	AGPS
ADAT1_HUMAN	ADAT1
ADAT2_HUMAN	ADAT2
ADAT3_HUMAN	ADAT3
ADA_HUMAN	ADA
ADCK1_HUMAN	ADCK1
ADCK2_HUMAN	ADCK2
ADCK3_HUMAN	ADCK3
ADCK4_HUMAN	ADCK4
ADCK5_HUMAN	ADCK5
ADCL2_HUMAN	AADACL2
ADCL3_HUMAN	AADACL3
ADCL4_HUMAN	AADACL4
ADCY1_HUMAN	ADCY1
ADCY2_HUMAN	ADCY2
ADCY3_HUMAN	ADCY3
ADCY4_HUMAN	ADCY4
ADCY5_HUMAN	ADCY5
ADCY6_HUMAN	ADCY6
ADCY7_HUMAN	ADCY7
ADCY8_HUMAN	ADCY8
ADCY9_HUMAN	ADCY9
ADCYA_HUMAN	ADCY10
ADDA_HUMAN	ADD1
ADDB_HUMAN	ADD2
ADDG_HUMAN	ADD3
ADEC1_HUMAN	ADAMDEC1
ADGB_HUMAN	ADGB
ADH1A_HUMAN	ADH1A
ADH1B_HUMAN	ADH1B
ADH1G_HUMAN	ADH1C
ADH4_HUMAN	ADH4
ADH6_HUMAN	ADH6
ADH7_HUMAN	ADH7
ADHX_HUMAN	ADH5
ADIG_HUMAN	ADIG
ADIPL_HUMAN	FAM132A
ADIPO_HUMAN	ADIPOQ
ADIP_HUMAN	SSX2IP
ADIRF_HUMAN	ADIRF
ADK_HUMAN	ADK
ADM2_HUMAN	ADM2
ADM5_HUMAN	ADM5
ADML_HUMAN	ADM
ADNP2_HUMAN	ADNP2
ADNP_HUMAN	ADNP
ADPGK_HUMAN	ADPGK
ADPPT_HUMAN	AASDHPPT
ADPRH_HUMAN	ADPRH
ADPRM_HUMAN	ADPRM
ADR1_HUMAN	ADIPOR1
ADR2_HUMAN	ADIPOR2
ADRB1_HUMAN	ADRB1
ADRB2_HUMAN	ADRB2
ADRB3_HUMAN	ADRB3
ADRM1_HUMAN	ADRM1
ADRO_HUMAN	FDXR
ADSV_HUMAN	SCIN
ADT1_HUMAN	SLC25A4
ADT2_HUMAN	SLC25A5
ADT3_HUMAN	SLC25A6
ADT4_HUMAN	SLC25A31
ADTRP_HUMAN	ADTRP
ADXL_HUMAN	FDX1L
ADX_HUMAN	FDX1
AEBP1_HUMAN	AEBP1
AEBP2_HUMAN	AEBP2
AEDO_HUMAN	ADO
AEGP_HUMAN	MAMDC4
AEN_HUMAN	AEN
AES_HUMAN	AES
AF10_HUMAN	MLLT10
AF17_HUMAN	MLLT6
AF1L1_HUMAN	AFAP1L1
AF1L2_HUMAN	AFAP1L2
AF1Q_HUMAN	MLLT11
AF9_HUMAN	MLLT3
AFAD_HUMAN	MLLT4
AFAM_HUMAN	AFM
AFAP1_HUMAN	AFAP1
AFF1_HUMAN	AFF1
AFF2_HUMAN	AFF2
AFF3_HUMAN	AFF3
AFF4_HUMAN	AFF4
AFG32_HUMAN	AFG3L2
AFTIN_HUMAN	AFTPH
AG10A_HUMAN	ALG10
AG10B_HUMAN	ALG10B
AG1L2_HUMAN	ALG1L2
AGA11_HUMAN	AGAP11
AGAL_HUMAN	GLA
AGAP1_HUMAN	AGAP1
AGAP2_HUMAN	AGAP2
AGAP3_HUMAN	AGAP3
AGAP4_HUMAN	AGAP4
AGAP5_HUMAN	AGAP5
